"","Pathogen","Disease","Agegroup","Source","CostCategory","median","5%","95%"
"150","Campylobacter","Reactive arthritis","5-64","Vegetables","TotalHumanCapital",3418363.48019126,264871.194431843,13786410.8606518
"151","Campylobacter","Reactive arthritis","65+","AllFood","TotalHumanCapital",9347470.22711691,4680672.56781667,17949855.3212156
"152","Campylobacter","Reactive arthritis","65+","Beef","TotalHumanCapital",525999.275660174,82589.4373291264,2479390.77745582
"153","Campylobacter","Reactive arthritis","65+","Crustaceans","TotalHumanCapital",0,0,0
"154","Campylobacter","Reactive arthritis","65+","Dairy","TotalHumanCapital",508859.712213538,39515.7632025976,2170277.41567947
"155","Campylobacter","Reactive arthritis","65+","Eggs","TotalHumanCapital",0,0,0
"156","Campylobacter","Reactive arthritis","65+","Finfish","TotalHumanCapital",0,0,0
"157","Campylobacter","Reactive arthritis","65+","Fruit","TotalHumanCapital",0,0,0
"158","Campylobacter","Reactive arthritis","65+","Grains and seeds","TotalHumanCapital",0,0,0
"159","Campylobacter","Reactive arthritis","65+","Lamb","TotalHumanCapital",376154.078739545,18674.3236190735,1888242.49458699
"160","Campylobacter","Reactive arthritis","65+","Molluscs","TotalHumanCapital",0,0,0
"161","Campylobacter","Reactive arthritis","65+","Nuts","TotalHumanCapital",0,0,0
"162","Campylobacter","Reactive arthritis","65+","Other","TotalHumanCapital",905492.727923562,497.904412423875,3217922.97450167
"163","Campylobacter","Reactive arthritis","65+","Pork","TotalHumanCapital",465751.136947766,38925.2923609811,2272303.86855589
"164","Campylobacter","Reactive arthritis","65+","Poultry","TotalHumanCapital",6058744.17870514,2282108.0531927,13087532.0226024
"165","Campylobacter","Reactive arthritis","65+","Vegetables","TotalHumanCapital",616659.474132764,48001.3637086696,2442350.56113451
"166","Campylobacter","Reactive arthritis","<5","AllFood","TotalHumanCapital",6627644.22404945,3200843.37663188,12970214.2687828
"167","Campylobacter","Reactive arthritis","<5","Beef","TotalHumanCapital",371731.684216253,57708.497799259,1782492.28227937
"168","Campylobacter","Reactive arthritis","<5","Crustaceans","TotalHumanCapital",0,0,0
"169","Campylobacter","Reactive arthritis","<5","Dairy","TotalHumanCapital",358877.356601372,27887.2143169187,1558535.83180918
"170","Campylobacter","Reactive arthritis","<5","Eggs","TotalHumanCapital",0,0,0
"171","Campylobacter","Reactive arthritis","<5","Finfish","TotalHumanCapital",0,0,0
"172","Campylobacter","Reactive arthritis","<5","Fruit","TotalHumanCapital",0,0,0
"173","Campylobacter","Reactive arthritis","<5","Grains and seeds","TotalHumanCapital",0,0,0
"174","Campylobacter","Reactive arthritis","<5","Lamb","TotalHumanCapital",265613.422800252,13253.3639732867,1358511.57292306
"175","Campylobacter","Reactive arthritis","<5","Molluscs","TotalHumanCapital",0,0,0
"176","Campylobacter","Reactive arthritis","<5","Nuts","TotalHumanCapital",0,0,0
"177","Campylobacter","Reactive arthritis","<5","Other","TotalHumanCapital",637623.154576417,357.896063393965,2304486.24971697
"178","Campylobacter","Reactive arthritis","<5","Pork","TotalHumanCapital",328563.223316583,27446.245667326,1631532.71769813
"179","Campylobacter","Reactive arthritis","<5","Poultry","TotalHumanCapital",4286562.79995275,1565930.00719358,9453594.65891096
"180","Campylobacter","Reactive arthritis","<5","Vegetables","TotalHumanCapital",435525.152418654,33666.0555633951,1755376.03758858
"181","Listeria monocytogenes","Initial","5-64","AllFood","TotalHumanCapital",22889987.6638997,13950079.1317178,35655842.6854702
"182","Listeria monocytogenes","Initial","5-64","Beef","TotalHumanCapital",1018961.20824691,34881.5241372763,4844039.28917701
"183","Listeria monocytogenes","Initial","5-64","Crustaceans","TotalHumanCapital",1084764.60775183,50309.382685754,5363248.58209676
"184","Listeria monocytogenes","Initial","5-64","Dairy","TotalHumanCapital",3848176.16452226,908833.084085723,12933331.8204911
"185","Listeria monocytogenes","Initial","5-64","Eggs","TotalHumanCapital",0,0,0
"186","Listeria monocytogenes","Initial","5-64","Finfish","TotalHumanCapital",2864408.91053579,308012.729895142,11423166.1589084
"187","Listeria monocytogenes","Initial","5-64","Fruit","TotalHumanCapital",2748663.69321354,259960.416678969,7714817.99221431
"188","Listeria monocytogenes","Initial","5-64","Grains and seeds","TotalHumanCapital",0,0,0
"189","Listeria monocytogenes","Initial","5-64","Lamb","TotalHumanCapital",603395.444199432,20265.7048623891,2933576.77817068
"190","Listeria monocytogenes","Initial","5-64","Molluscs","TotalHumanCapital",747831.640120226,34718.5580922714,2870615.1352561
"191","Listeria monocytogenes","Initial","5-64","Nuts","TotalHumanCapital",0,0,0
"192","Listeria monocytogenes","Initial","5-64","Other","TotalHumanCapital",0,0,0
"193","Listeria monocytogenes","Initial","5-64","Pork","TotalHumanCapital",2205713.20665659,62052.3484702995,7991786.9506723
"194","Listeria monocytogenes","Initial","5-64","Poultry","TotalHumanCapital",745751.620292928,11548.5236848757,4490356.5295105
"195","Listeria monocytogenes","Initial","5-64","Vegetables","TotalHumanCapital",5213846.90449605,1597632.44163566,12454977.3795694
"196","Listeria monocytogenes","Initial","65+","AllFood","TotalHumanCapital",39295727.1115352,24869438.5763944,58981648.3487899
"197","Listeria monocytogenes","Initial","65+","Beef","TotalHumanCapital",1751592.38487044,60315.0031842281,8058871.53071625
"198","Listeria monocytogenes","Initial","65+","Crustaceans","TotalHumanCapital",1864648.29879943,86452.209794235,8919758.34200273
"199","Listeria monocytogenes","Initial","65+","Dairy","TotalHumanCapital",6592175.51976517,1578805.99399596,21747583.7480725
"200","Listeria monocytogenes","Initial","65+","Eggs","TotalHumanCapital",0,0,0
"201","Listeria monocytogenes","Initial","65+","Finfish","TotalHumanCapital",4925440.84639154,533839.447525326,19186582.7921001
"202","Listeria monocytogenes","Initial","65+","Fruit","TotalHumanCapital",4764491.67012878,451431.975907346,12861189.9818914
"203","Listeria monocytogenes","Initial","65+","Grains and seeds","TotalHumanCapital",0,0,0
"204","Listeria monocytogenes","Initial","65+","Lamb","TotalHumanCapital",1032893.75638155,34479.8446740715,4871909.49436944
"205","Listeria monocytogenes","Initial","65+","Molluscs","TotalHumanCapital",1292330.12010729,59362.8657995081,4769168.42210997
"206","Listeria monocytogenes","Initial","65+","Nuts","TotalHumanCapital",0,0,0
"207","Listeria monocytogenes","Initial","65+","Other","TotalHumanCapital",0,0,0
"208","Listeria monocytogenes","Initial","65+","Pork","TotalHumanCapital",3800401.45721148,107998.677900182,13314166.7931284
"209","Listeria monocytogenes","Initial","65+","Poultry","TotalHumanCapital",1270757.0000129,19489.483981231,7493257.70795748
"210","Listeria monocytogenes","Initial","65+","Vegetables","TotalHumanCapital",8963522.38486665,2789126.50624889,20862905.4942239
"211","Listeria monocytogenes","Initial","<5","AllFood","TotalHumanCapital",14766530.7164118,8299518.02008253,24663529.691766
"212","Listeria monocytogenes","Initial","<5","Beef","TotalHumanCapital",659168.960603936,23075.5020559004,3312312.66842605
"213","Listeria monocytogenes","Initial","<5","Crustaceans","TotalHumanCapital",703497.180405483,32555.8104326271,3650315.56789635
"214","Listeria monocytogenes","Initial","<5","Dairy","TotalHumanCapital",2487457.1548974,555363.293029749,8629977.43899169
"215","Listeria monocytogenes","Initial","<5","Eggs","TotalHumanCapital",0,0,0
"216","Listeria monocytogenes","Initial","<5","Finfish","TotalHumanCapital",1850581.8007656,193337.16702585,7668218.11933103
"217","Listeria monocytogenes","Initial","<5","Fruit","TotalHumanCapital",1747511.13816918,167022.550021694,5246794.17497796
"218","Listeria monocytogenes","Initial","<5","Grains and seeds","TotalHumanCapital",0,0,0
"219","Listeria monocytogenes","Initial","<5","Lamb","TotalHumanCapital",388931.063833224,13036.4374952961,2014556.8746516
