"","Measure","Pathogen","Disease","Agegroup","Source","median","5%","95%"
"122","Cases","Non-typhoidal Salmonella","Reactive arthritis","65+","Poultry",189.263252189755,46.6699264034372,515.021475675163
"123","Cases","Non-typhoidal Salmonella","Reactive arthritis","65+","Seeds and grains",12.4077446786695,3.13782031534791,33.203631286507
"124","Cases","Non-typhoidal Salmonella","Reactive arthritis","65+","Shellfish",2.37616278219199,0.580929447925874,6.5815802881917
"125","Cases","Non-typhoidal Salmonella","Reactive arthritis","65+","Vegetables",66.167894275379,16.9635804897588,172.092170699022
"126","Cases","Non-typhoidal Salmonella","Reactive arthritis","65+","AllFood",809.499147967597,212.584001779557,2002.16591519144
"127","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Beef",77.9327170747696,36.5808222389752,161.467930421176
"128","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Dairy",14.1939166477866,6.87204307070883,28.4434080857392
"129","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Eggs",467.584258186027,236.119617264653,901.837934464501
"130","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Fin fish",1.52748791559823,0.742449593634968,3.06035184045384
"131","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Fruit",31.6184862559775,13.588723706342,69.0183184425244
"132","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Lamb",63.8286876288337,29.2974985206657,133.923089289406
"133","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Nuts",52.3393482792905,22.2913942300038,116.432951496509
"134","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Other",22.1731756405983,11.1684145195902,43.2597133586748
"135","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Pork",111.44203848207,50.8220874795001,234.358742024021
"136","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Poultry",303.070306643372,143.229566191572,622.724479437688
"137","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Seeds and grains",19.9006839566021,9.7326787932292,39.336070125696
"138","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Shellfish",3.81447742830679,1.78405025134901,7.87945572005738
"139","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Vegetables",105.382436762494,53.9513761819446,202.814805051611
"140","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","AllFood",1284.87107917783,699.732952333816,2308.65859216886
"141","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Beef",203.297896886013,95.4259585279155,421.210653257071
"142","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Dairy",37.0267265326052,17.9266418010915,74.1984273248627
"143","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Eggs",1219.75596224914,615.949544751275,2352.56465179776
"144","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Fin fish",3.98465615489819,1.93677888562581,7.98333634766761
"145","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Fruit",82.4810426202959,35.447999948648,180.04349793826
"146","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Lamb",166.505653119814,76.4264362495924,349.356257794691
"147","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Nuts",136.53417754389,58.1500778584291,303.730898343522
"148","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Other",57.8416888852085,29.1343003119669,112.848737678075
"149","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Pork",290.711435434216,132.576200185946,611.356066600684
"150","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Poultry",790.599356238071,373.633445253885,1624.45994135761
"151","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Seeds and grains",51.9135909388206,25.3889919920573,102.61339047941
"152","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Shellfish",9.95057362301301,4.65393326002278,20.5546121914018
"153","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Vegetables",274.904155362424,140.739367541522,529.069495739265
"154","Cases","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","AllFood",3351.75774656881,1825.34682391254,6022.44415481443
