"","Pathogen","AgeGroup","Disease","CostCategory","median","5%","95%"
"484","Shigella","5-64","All Diseases","FrictionLow",281198.55524712,104583.042528675,658362.942538859
"485","Shigella","5-64","All Diseases","HumanCapital",937328.5174904,348610.141762248,2194543.1417962
"486","Shigella","5-64","All Diseases","WTP",489003.377485964,172220.229437838,1112288.9061767
"487","Shigella","5-64","IBS","Deaths",201.004103903544,1.39810026446137,2731.35944616718
"488","Shigella","5-64","IBS","Direct",91994.8238732474,29192.7004288305,233315.610191886
"489","Shigella","5-64","IBS","FrictionHigh",121304.928967344,42014.9755336716,281926.322067425
"490","Shigella","5-64","IBS","FrictionLow",45489.3483627542,15755.6158251268,105722.370775284
"491","Shigella","5-64","IBS","HumanCapital",151631.16120918,52518.7194170894,352407.902584281
"492","Shigella","5-64","IBS","WTP",161746.58761911,50124.5497120347,387119.121573113
"493","Shigella","5-64","ReactiveArthritis","Deaths",674.96025451582,6.05377522827293,8129.53347098828
"494","Shigella","5-64","ReactiveArthritis","Direct",46089.503744409,13959.9804321999,119697.11373789
"495","Shigella","5-64","ReactiveArthritis","FrictionHigh",227406.608784593,75640.5330553961,536148.196225923
"496","Shigella","5-64","ReactiveArthritis","FrictionLow",85277.4782942222,28365.1998957735,201055.573584721
"497","Shigella","5-64","ReactiveArthritis","HumanCapital",284258.260980741,94550.6663192451,670185.245282404
"498","Shigella","5-64","ReactiveArthritis","WTP",116787.785456247,37658.5874384899,274360.692749822
"499","Shigella","5-64","Shigellosis","Deaths",462528.749343089,126956.328133005,1269547.44675025
"500","Shigella","5-64","Shigellosis","Direct",391183.393250731,262231.660714022,582096.521473587
"501","Shigella","5-64","Shigellosis","FrictionHigh",396271.05671628,155201.76504596,922147.899785248
"502","Shigella","5-64","Shigellosis","FrictionLow",148601.646268605,58200.6618922351,345805.462419468
"503","Shigella","5-64","Shigellosis","HumanCapital",495338.820895349,194002.20630745,1152684.87473156
"504","Shigella","5-64","Shigellosis","WTP",208471.020669393,76447.0315243705,473590.927681791
"505","Shigella","65+","All Diseases","Deaths",35765.6141899293,4294.69024043063,301815.918365228
"506","Shigella","65+","All Diseases","Direct",88630.7970482265,51997.4206421936,143686.52286839
"507","Shigella","65+","All Diseases","FrictionHigh",40588.8750915934,13386.2651927274,151829.196972198
"508","Shigella","65+","All Diseases","FrictionLow",15220.8281593475,5019.84944727278,56935.9488645741
"509","Shigella","65+","All Diseases","HumanCapital",50736.0938644918,16732.8314909093,189786.496215247
"510","Shigella","65+","All Diseases","WTP",53531.7481226655,18852.2200718195,122377.645151322
"511","Shigella","65+","IBS","Deaths",4513.6548979516,1008.73005480419,16209.160494602
"512","Shigella","65+","IBS","Direct",10283.9232445614,3407.74466052417,25044.8539503616
"513","Shigella","65+","IBS","FrictionHigh",5524.29541489865,1913.38586711694,12839.0849538817
"514","Shigella","65+","IBS","FrictionLow",2071.61078058699,717.519700168851,4814.65685770562
"515","Shigella","65+","IBS","HumanCapital",6905.36926862331,2391.73233389617,16048.8561923521
"516","Shigella","65+","IBS","WTP",17547.827473155,5644.64413195419,42047.6655073478
"517","Shigella","65+","ReactiveArthritis","Deaths",396.164567850929,2.63950156072839,4425.47601643129
"518","Shigella","65+","ReactiveArthritis","Direct",4974.71560297761,1580.58213165387,13213.8108776466
"519","Shigella","65+","ReactiveArthritis","FrictionHigh",10426.3254559637,3468.02944520041,24581.7639881102
"520","Shigella","65+","ReactiveArthritis","FrictionLow",3909.87204598638,1300.51104195016,9218.16149554132
"521","Shigella","65+","ReactiveArthritis","HumanCapital",13032.9068199546,4335.03680650052,30727.2049851377
"522","Shigella","65+","ReactiveArthritis","WTP",12948.4841693483,4338.05695145696,31129.3486386541
"523","Shigella","65+","Shigellosis","Deaths",27018.5325732205,235.202929146732,295358.093728537
"524","Shigella","65+","Shigellosis","Direct",71835.550254634,42993.9422846588,116623.622309653
"525","Shigella","65+","Shigellosis","FrictionHigh",23378.7987655098,5986.59525600166,121553.773017244
"526","Shigella","65+","Shigellosis","FrictionLow",8767.04953706619,2244.97322100062,45582.6648814665
"527","Shigella","65+","Shigellosis","HumanCapital",29223.4984568873,7483.24407000207,151942.216271555
"528","Shigella","65+","Shigellosis","WTP",23189.9995216279,8376.44583831301,52528.6926240735
"529","Shigella","All Ages","All Diseases","Deaths",715769.879576982,287716.859796729,1669282.08414539
"530","Shigella","All Ages","All Diseases","Direct",723340.128007861,485000.795654692,1140854.19111394
"531","Shigella","All Ages","All Diseases","FrictionHigh",912829.25231284,338557.006859459,2132155.17494651
"532","Shigella","All Ages","All Diseases","FrictionLow",342310.969617315,126958.877572297,799558.190604943
"533","Shigella","All Ages","All Diseases","HumanCapital",1141036.56539105,423196.258574323,2665193.96868314
"534","Shigella","All Ages","All Diseases","WTP",632749.059810405,220372.761232659,1430643.42489932
"535","Shigella","All Ages","IBS","Deaths",5601.50539138662,1321.39625242826,18306.47390252
"536","Shigella","All Ages","IBS","Direct",113761.50814456,36940.001995063,277686.638997982
"537","Shigella","All Ages","IBS","FrictionHigh",145494.671812763,50393.2950501825,338146.009842862
"538","Shigella","All Ages","IBS","FrictionLow",54560.5019297862,18897.4856438184,126804.753691073
"539","Shigella","All Ages","IBS","HumanCapital",181868.339765954,62991.6188127281,422682.512303578
"540","Shigella","All Ages","IBS","WTP",206853.117532703,68568.8499664389,491249.917186953
"541","Shigella","All Ages","ReactiveArthritis","Deaths",2995.52060157915,327.446601335076,15110.5176742397
"542","Shigella","All Ages","ReactiveArthritis","Direct",59144.5651059788,18815.2635737379,151555.385890251
"543","Shigella","All Ages","ReactiveArthritis","FrictionHigh",272734.427685494,90717.5811773807,643015.927434182
"544","Shigella","All Ages","ReactiveArthritis","FrictionLow",102275.41038206,34019.0929415178,241130.972787818
"545","Shigella","All Ages","ReactiveArthritis","HumanCapital",340918.034606867,113396.976471726,803769.909292728
"546","Shigella","All Ages","ReactiveArthritis","WTP",150635.170587505,48947.0514969238,352105.184456944
"547","Shigella","All Ages","Shigellosis","Deaths",703278.143967686,274101.789071378,1657101.56088649
"548","Shigella","All Ages","Shigellosis","Direct",545188.826251126,400324.169455911,781667.405937014
"549","Shigella","All Ages","Shigellosis","FrictionHigh",490412.522932652,189895.09265505,1144352.26835793
"550","Shigella","All Ages","Shigellosis","FrictionLow",183904.696099744,71210.6597456439,429132.100634222
"551","Shigella","All Ages","Shigellosis","HumanCapital",613015.653665814,237368.865818813,1430440.33544741
"552","Shigella","All Ages","Shigellosis","WTP",269843.94601352,99108.2989090109,613314.045120885
"553","STEC","<5","All Diseases","Deaths",861599.175559769,178655.130349186,2447476.02749545
"554","STEC","<5","All Diseases","Direct",109315.965909944,51253.5714287791,251299.493802205
"555","STEC","<5","All Diseases","FrictionHigh",117304.493908997,49707.4061374875,270540.027780507
"556","STEC","<5","All Diseases","FrictionLow",43989.1852158739,18640.2773015578,101452.51041769
"557","STEC","<5","All Diseases","HumanCapital",146630.617386246,62134.2576718594,338175.034725634
"558","STEC","<5","All Diseases","WTP",84487.8796477358,38056.8350763683,187992.00988248
"559","STEC","<5","HUS","Deaths",527309.567296677,91401.5225872542,1778853.40799982
"560","STEC","<5","HUS","Direct",73033.669011884,30456.3403231623,188257.043458645
"561","STEC","<5","HUS","FrictionHigh",43642.4908656972,18306.5360202774,112502.528557824
"562","STEC","<5","HUS","FrictionLow",16365.9340746365,6864.95100760402,42188.448209184
"563","STEC","<5","HUS","HumanCapital",54553.1135821216,22883.1700253467,140628.16069728
"564","STEC","<5","HUS","WTP",28571.6636983176,11943.1389158072,73547.685442272
"565","STEC","<5","STEC","Deaths",151523.377009811,1294.78034243537,1309038.60523057
"566","STEC","<5","STEC","Direct",34983.5186362101,19836.3692252557,73608.3840560818
"567","STEC","<5","STEC","FrictionHigh",68952.1087376688,27926.9545358178,177735.62645318
"568","STEC","<5","STEC","FrictionLow",25857.0407766258,10472.6079509317,66650.8599199425
"569","STEC","<5","STEC","HumanCapital",86190.135922086,34908.6931697722,222169.533066475
"570","STEC","<5","STEC","WTP",55457.7660660082,24610.5199988434,121824.820849185
"571","STEC","5-64","All Diseases","Deaths",6154487.96691995,2953693.0242521,11767564.6758552
"572","STEC","5-64","All Diseases","Direct",498957.792831939,251000.370564126,1118397.52220057
"573","STEC","5-64","All Diseases","FrictionHigh",696376.428223185,319786.345184478,1596629.71163228
"574","STEC","5-64","All Diseases","FrictionLow",261141.160583694,119919.879444179,598736.141862103
